year,winner_name,category,work_title,data_source
1945,"Harvey","Drama","","Wikidata"
1945,"Mary Chase","Drama","Harvey","Wikidata"
1943,"Thornton Wilder","Drama","The Skin of Our Teeth","Wikidata"
1943,"The Skin of Our Teeth","Drama","","Wikidata"
1941,"Robert E. Sherwood","Drama","There Shall Be No Night","Wikidata"
1941,"There Shall Be No Night","Drama","","Wikidata"
1940,"William Saroyan","Drama","The Time of Your Life","Wikidata"
1940,"The Time of Your Life","Drama","","Wikidata"
1939,"Robert E. Sherwood","Drama","Abe Lincoln in Illinois","Wikidata"
1939,"Abe Lincoln in Illinois","Drama","","Wikidata"
1938,"Thornton Wilder","Drama","Our Town","Wikidata"
1938,"Our Town","Drama","","Wikidata"
1937,"You Can't Take It with You","Drama","","Wikidata"
1937,"George S. Kaufman","Drama","You Can't Take It with You","Wikidata"
1937,"Moss Hart","Drama","You Can't Take It with You","Wikidata"
1936,"Robert E. Sherwood","Drama","Idiot's Delight","Wikidata"
1936,"Idiot's Delight","Drama","","Wikidata"
1935,"Zoë Akins","Drama","The Old Maid","Wikidata"
1935,"The Old Maid","Drama","","Wikidata"
1934,"Men in White","Drama","","Wikidata"
1934,"Sidney Kingsley","Drama","Men in White","Wikidata"
1933,"Maxwell Anderson","Drama","Both Your Houses","Wikidata"
1933,"Both Your Houses","Drama","","Wikidata"
1932,"George S. Kaufman","Drama","Of Thee I Sing","Wikidata"
1932,"Morrie Ryskind","Drama","Of Thee I Sing","Wikidata"
1932,"Of Thee I Sing","Drama","","Wikidata"
1932,"Ira Gershwin","Drama","Of Thee I Sing","Wikidata"
1931,"Susan Glaspell","Drama","Alison's House","Wikidata"
1931,"Alison's House","Drama","","Wikidata"
1930,"Marc Connelly","Drama","The Green Pastures","Wikidata"
1930,"The Green Pastures","Drama","","Wikidata"
1929,"Elmer Rice","Drama","Street Scene","Wikidata"
1929,"Street Scene","Drama","","Wikidata"
1928,"Strange Interlude","Drama","","Wikidata"
1928,"Eugene O'Neill","Drama","Strange Interlude","Wikidata"
1927,"In Abraham's Bosom","Drama","","Wikidata"
1927,"Paul Green","Drama","In Abraham's Bosom","Wikidata"
